Year,Year Code,hw_days_dailyMax,avg_hw_days_dailyMax
1981,1981,11672,3.75
1982,1982,2943,0.95
1983,1983,20425,6.57
1984,1984,6501,2.09
1985,1985,8844,2.84
1986,1986,17000,5.47
1987,1987,11299,3.63
1988,1988,48022,15.45
1989,1989,8886,2.86
1990,1990,13008,4.18
1991,1991,14286,4.6
1992,1992,3692,1.19
1993,1993,8268,2.66
1994,1994,8901,2.86
1995,1995,15021,4.83
1996,1996,5320,1.71
1997,1997,5101,1.64
1998,1998,22779,7.33
1999,1999,23436,7.54
2000,2000,32596,10.48
2001,2001,15282,4.92
2002,2002,25983,8.36
2003,2003,21582,6.94
2004,2004,2588,0.83
2005,2005,23298,7.49
2006,2006,36679,11.8
2007,2007,47416,15.25
2008,2008,14484,4.66
2009,2009,45751,14.72
2010,2010,48911,15.73
